id;datumpublicatie;datumstart;digitaal;naam;procedure;referentienummer;scoremaximaal;status;tendernedkenmerk;type;volgendesluiting
1;intrepid;2024-05-05;aboard yawningly;before;yowza if;wilted platelet aw;gee uh-huh modulo;yuck sadly inasmuch;mysteriously governor full;arrogantly;roughly design up
2;yuck briefly phenotype;2024-05-05;indeed supposing tyrannize;mmm gleefully marry;worthy amused composed;bright;wrong boohoo against;instead underneath till;finesse noisy before;athwart flash courageously;macaroni fertilise
3;nicely;2024-05-05;atop given;thermals distorted;known redesign consequently;documentation;grid;recent wearily brr;obedient;reopen;darling consequently boohoo
4;deprive;2024-05-06;potentially;anti;pardon;cheerfully from presume;whoa enormously;yippee till;so;heavily silence;yet consequently supposing
5;miserably;2024-05-06;ticket;thread;coaxingly pfft brr;mortify;despite throughout how;author;pfft infect pessimistic;although yet;sophisticated
6;panic;2024-05-06;corrupt ick minus;upgrade clumsy ferociously;zowie;forenenst acclaimed;hose tensely chuck;proof;audience gird;aside office;ick pfft keenly
7;gratefully furrow unless;2024-05-06;ah damaged;excluding;wallet naturally restore;strict leeway;fluffy remorseful;um when;per probate;vice transmogrify awkward;till athletic
8;blissfully litmus geez;2024-05-06;pressure near gadzooks;bassinet beside titanium;ick unbearably;geez;yippee;clean;prostrate;innovate command;value
9;plus;2024-05-06;distant;never or gosh;exorcise gee ouch;how unfit among;whereas yuck;jaggedly;puncture;subsume;yolk
10;vice;2024-05-06;modulo rejoin urgently;furthermore;disunite give;diligently win;each down;whose;confused vintner sans;furthermore nicely;an because drum
