id;beschrijving;categorie;datum;naam;type
1;truly;neglect;supposing by;consign;without yum oof
2;towards;atop minister scapegoat;murky bad;coupon exchange inside;tremendously steam
3;rarely scarcely yahoo;chime once while;beautifully by;whoa so ulcerate;jubilantly consequently evenly
4;laboratory twine plantation;different;dhow;gadzooks since;where until
5;afore;wearily;amid buttery;as aw whenever;vulgarise cautiously
6;instantly;upside-down claim;equally relieved diligently;incredible;lazily
7;correctly ack;reinstate;gliding anorak moist;advise;as during
8;frank in;heavenly headlight;between incidentally colossal;anti nor;unless generally touch
9;female gleefully worth;eulogise plaintive searchingly;upon degrade;founder congressman;along
10;ketch;highlight following incomplete;simple woot outgrow;harbor briskly;readily guidance aw
