id;datum;opmerkingen;reden;soortverzuimofaanvraag
1;2024-05-05;morph;midst decimal gorge;tar
2;2024-05-06;regarding;aw quickly hail;dither owlishly vulgarize
3;2024-05-05;early zowie and;rap inasmuch;atop where
4;2024-05-06;into apud;indeed;um
5;2024-05-05;continually;yesterday;sniveling midst powder
6;2024-05-06;throughout corrupt;disgusting;er diligently obedient
7;2024-05-06;physical;blub;bar wonderful whoa
8;2024-05-05;emphasize far;during second-hand gleefully;usually geez
9;2024-05-05;nurse suddenly excitedly;weepy puzzling triangular;uh-huh alarmed
10;2024-05-05;because yippee even;now beginning energetically;spaghetti tote aw
