id;codeaardaantekening;datumbegingeldigheidaardaantekening;datumeindegeldigheidaardaantekening;naamaardaantekening
1;eek about wage;2024-05-05;2024-05-06;beside spay lest
2;oof for realize;2024-05-05;2024-05-05;well-lit athwart
3;frail now gah;2024-05-05;2024-05-05;cube sleepwalk
4;fry aw;2024-05-06;2024-05-06;impractical quietly
5;unto including um;2024-05-06;2024-05-06;downright vital save
6;which;2024-05-05;2024-05-05;identical
7;hmph;2024-05-06;2024-05-05;modern afore
8;brr shrilly illumine;2024-05-05;2024-05-05;huzzah
9;lustrous gee;2024-05-06;2024-05-05;yet
10;deeply closure;2024-05-06;2024-05-05;rusty legal
