id;codeaardfiliatie;datumbegingeldigheidaardfiliatie;datumeindegeldigheidaardfiliatie;naamaardfiliatie
1;troop however crave;2024-05-05;2024-05-05;music-box yum
2;earnest now gadzooks;2024-05-05;2024-05-06;selfishly
3;phew;2024-05-06;2024-05-05;tutor across gah
4;abaft viciously label;2024-05-06;2024-05-05;um
5;eek psst unbearably;2024-05-05;2024-05-05;whoa wonderful loading
6;ha;2024-05-05;2024-05-06;associate liner
7;woot veldt after;2024-05-06;2024-05-05;gah
8;curd wholly;2024-05-06;2024-05-05;victorious darn
9;talkative oddly if;2024-05-06;2024-05-06;yowza concerning deeply
10;so;2024-05-05;2024-05-06;scarification
