id;codeacademischetitel;datumbegingeldigheidtitel;datumeindegeldigheidtitel;omschrijvingacademischetitel;positieacademischetiteltovnaam
1;dear fondly punctual;demarcate;farmer which;limited;funding um smoggy
2;surface tasty regulator;woot enfeeble;nor meanwhile loafer;instead roller;pocket near whoever
3;chub duh migrate;insure bah lighting;rough unlawful;up hungrily grieve;opponent
4;spry meh;contrast paraphrase;worldly ugh realistic;erase;inwardly
5;toilet positively so;impose unless curse;politely;apud;jasmine shyly purr
6;nutty hypothermia setback;yum;disinter and reoffend;supplier brr;ack
7;consequently aw winch;indelible beside via;seriously deceivingly;cartilage;committee whereas within
8;perfume prestigious scrawny;provided measurement;brighten solemnly;immediate hm;stimulation instinct
9;wherever profitable;mass xylophone natural;keenly;duh provided stretch;mealy recliner
10;for;mid;faithfully till memo;next rocker accidentally;outstrip since befog
