id;identificatie;typeadresseerbaarobject;versie
1;concerning via;however unit caper;or double
2;poll despite;along truly;modulo
3;shower nation observe;late;lined whereas loving
4;placode faithfully polished;including recount;cilantro circa
5;drat;extra-small;drat absent rightfully
6;thread fracture;who bondsman vastly;drat
7;bah;vigorous for usually;bill amidst
8;active because knowing;although hyphenation smoothly;useful eek finally
9;tap crossly pledge;woot via;upon boohoo nor
10;absent angrily;yum;carry
