id;ambachtsoort;jaarambachttot;jaarambachtvanaf
1;more life;jubilant;meh
2;noise disport neatly;suddenly credit;these
3;and amid citizenship;crest pish separately;regularly primary
4;dramatic by why;glistening;kindly materialise
5;supposing curiously;to;rain geez
6;bleakly;athwart before worth;sharply fast lest
7;atop state;ethical;indeed dearest tromp
8;pish fairly courageous;bah;hm
9;how boohoo deserted;nor gadzooks;institute watery horseradish
10;yuck sternly;excluding lined;scientific messy how
