id;anderzaakobjectaanduiding;anderzaakobjectlocatie;anderzaakobjectomschrijving;anderzaakobjectregistratie
1;than drug;down dear;up;an
2;till geez;meh office luxurious;yahoo ouch;pit
3;switching;footstep punctual and;passionate once ouch;ick
4;or;deafening er;parched bossy whether;afore phew gosh
5;slide;sow adjustment worrisome;swelter than;when gaseous
6;far-flung;except toward robe;borrow right nor;ill ick boohoo
7;woefully grudge career;absolute;beneath amidst yahoo;cruelly threadbare before
8;for total sunroom;boastfully oddly lazily;revascularization;like neuropathologist once
9;necktie circa;lest between yowza;effort;secure certainly
10;originate material;doubtfully far more;ew across woefully;intelligent arctic potentially
