id;datumbeginstatus;datumeindestatus;status;statuscode;statusvolgorde
1;2024-05-05;2024-05-05;samovar bray emu;yum;take feline
2;2024-05-05;2024-05-06;reproachfully;scholarly equation yahoo;flicker
3;2024-05-05;2024-05-06;valiantly moonscape colorless;plowman;however midst apud
4;2024-05-05;2024-05-05;concern;rubric consequently;off pfft until
5;2024-05-06;2024-05-05;active illuminate;shackle as;consequently pish
6;2024-05-06;2024-05-05;suddenly fooey actual;gleaming gah;what enchant talent
7;2024-05-05;2024-05-06;what;before;cashew disembowel mmm
8;2024-05-05;2024-05-06;grateful times meh;cycle perpetrate;yahoo
9;2024-05-06;2024-05-05;upon soon;into;quiver
10;2024-05-05;2024-05-05;salmon chainstay basic;worth zowie;bah
