id;applicatieurl;beheerstatus;beleidsdomein;categorie;guid;naam;omschrijving;packagingstatus
1;below pfft;blah crafty phew;damp;without with unsteady;capacity;garbage;in what;whack transmogrify
2;wafer;chief aha useful;as;affirm arrogantly;for shower regarding;insubstantial;babyish soft cricket;rural gosh drat
3;park despite jive;furthermore thirst;hm courageous;supposing geez torso;ring apple;mango memory;ugh;foolishly
4;among down;along goad;how yuck;deficit;aside;which snappy;generally among;unnecessarily boohoo boohoo
5;chargrill concerning batting;loudly;impractical as offensive;excepting ew furiously;atop phew against;wisely;failing consort instrument;anodize jubilantly
6;whenever countermand the;out;propound tuck;stealthily decadence aha;geez;oof eek;ah container;poem resume
7;moralize;optimistic cofactor gah;hm however review;be lest;in;penalise majestically;dreamily unwitting;eek
8;up;muffin;psst;habit banish opposite;pure yippee on;surprisingly voluminous;lovingly;headphones plus
9;plus sternly blah;single;facelift times true;daily octavo bar;astride consequently;round aw;er;searchingly faithfully whenever
10;briefly doorpost while;yum;inasmuch;obi while yippee;yum;impeccable unacceptable;shake fooey;leap
