id;code;datumbegingeldigheidautoriteitvanafgifte;datumeindegeldigheidautoriteitvanafgifte;omschrijving
1;um;2024-05-05;2024-05-06;imaginary ugh gadzooks
2;valiantly colloquy;2024-05-06;2024-05-05;cow
3;degradation;2024-05-05;2024-05-05;aw autograph within
4;next naturally usefully;2024-05-06;2024-05-06;regarding
5;beyond if pegboard;2024-05-05;2024-05-05;without
6;owlishly meh yahoo;2024-05-05;2024-05-06;smoothly creativity metaphor
7;instead;2024-05-06;2024-05-06;poetry
8;unless praise;2024-05-05;2024-05-06;peer-to-peer phooey whose
9;yippee;2024-05-06;2024-05-06;ouch temporary uh-huh
10;valuable indeed passenger;2024-05-06;2024-05-05;quantity sore bashfully
