id;bedrag;bij;datum;rekeningvan
1;24971.55;true;loophole yowza;curvy oddball bakery
2;23385.1;false;pfft spirituality notwithstanding;ick opposite down
3;3546.9;true;knottily deeply circa;till
4;24814.99;false;familiar yippee;care stucco mound
5;3875.33;false;times than generally;provided scholarly
6;13723.9;false;ray given;sans aw
7;18949.49;false;debut;ew except on
8;24961.21;true;colorless tremendously lest;yowza
9;16358.38;true;mockingly outside;somber huzzah
10;898.38;false;wick;for instead hmph
