id;datum;nummer;tijd
1;lest;ask under drat;annoy weak extra-small
2;who boohoo regale;waiter;within
3;countermand;brooch somewhere;fatally apropos haunting
4;helpful besides;obedient reluctantly hm;venue wherever thick
5;admit oily;despite huzzah before;aboard oh
6;favorite;zowie busily;defense boohoo really
7;unaccountably yuck;provided ordinary;midst
8;near indeed approximate;faithful barge;focalise even
9;imperturbable eyelids after;brag;worthless
10;armadillo gah;anti famously cobble;unless
