id;bedrag;datumbetaling;omschrijving;rekeningnaar;rekeningvan
1;29369.01;2024-05-06;these posterior teen;confused consequently glamorous;tonify itchy glom
2;8877.09;2024-05-06;down;inside fire;officially incise that
3;19995.72;2024-05-06;adventurously outfielder select;skateboard yippee;for
4;19296.97;2024-05-05;punctually fast;scared each;jelly marshmallow mezzanine
5;13302.79;2024-05-05;key;aw advancement;embellished
6;12793.51;2024-05-06;anxiously;dense supposing;thaw ouch
7;6614.12;2024-05-05;jealously without supposing;enthusiastically but;officially
8;21605.98;2024-05-06;into amid;fooey or;until imprisonment finally
9;31067.91;2024-05-06;duh phew gadzooks;project poorly;monsoon
10;13864.06;2024-05-05;webpage flummox;enthusiastically;while badge onto
