id;afgerond;datumeind;datumstart;naam;omschrijving
1;brr resupply watchful;2024-05-05;2024-05-05;phooey;since
2;yowza tomorrow;2024-05-05;2024-05-06;pish floor;shoreline
3;space faithfully;2024-05-05;2024-05-05;who;than
4;disavow aw about;2024-05-05;2024-05-06;aw;for forceful
5;under;2024-05-06;2024-05-05;unless boo;quaintly show
6;brief wax;2024-05-06;2024-05-06;subconscious acorn blissfully;wherever gadzooks
7;down toad yowza;2024-05-06;2024-05-05;ravish winged pledge;while
8;tremendously;2024-05-05;2024-05-06;lovingly ferociously;eek
9;mockingly;2024-05-06;2024-05-06;underestimate;mmm despite aw
10;fresh on;2024-05-06;2024-05-06;pish incomplete;forswear
