id;begroeidterreindeeloptalud;datumbegingeldigheidbegroeidterreindeel;datumeindegeldigheidbegroeidterreindeel;fysiekvoorkomenbegroeidterreindeel;geometriebegroeidterreindeel;identificatiebegroeidterreindeel;kruinlijngeometriebegroeidterreindeel;lod_0_geometriebegroeidterreindeel;plusfysiekvoorkomenbegroeidterreindeel;relatievehoogteliggingbegroeidterreindeel;statusbegroeidterreindeel
1;kindheartedly neat winch;2024-05-06;2024-05-06;ew scalp ball;likewise;apud;consequently up;ugh without since;ick bravely rigid;properly piety;frankly below whenever
2;ethical deposition;2024-05-05;2024-05-05;since fooey softly;basement;mat jubilantly;humiliating;aw;pish for;owlishly amidst;jingle
3;including;2024-05-06;2024-05-05;ha different;brr daily detonate;gah people;anxious feel;ack persevere;biosphere than;marsh teleport;divide until
4;when evenly dearly;2024-05-05;2024-05-06;arrogantly daily jiggle;silently as;coolly ah break;wonderfully zowie darling;tenderly;excepting;stalk seemingly forswear;doubtfully
5;where lest;2024-05-06;2024-05-05;gruesome inasmuch;puny zowie;while;minus ironclad;ugh near ally;till ugh bisect;forenenst echidna;before
6;youthfully jolly;2024-05-06;2024-05-06;if;harsh whenever during;widow;geez consistency hope;twitter minimise than;monument amongst;classroom whose;athwart evict harangue
7;ha boost energetically;2024-05-06;2024-05-05;indeed unknown;roughly slouch but;race but;maggot;telescreen lumber;finally;woot minus ha;offensive
8;including brr;2024-05-05;2024-05-06;blah until;comprehend windy outsmart;beneath;incomparable biff telnet;bustle;union broadly defiantly;visual ladybug;lest
9;under which shriek;2024-05-06;2024-05-05;regarding resemble;awesome safe;crossly shoemaker;before;after;unimpressively plot ick;obtrude little;ew
10;uneven bomb and;2024-05-06;2024-05-05;masquerade;ew woot traffic;loyally foolishly sphere;yet habit;bustling propagate unbearably;hm;absentmindedly deceivingly around;meanwhile surprisingly finally
