id;datumeinde;datumstart;toelichting
1;provision lest times;biodegrade aha identical;congeal absent ack
2;rigidly virtuous;needily step;rebrand gee
3;urgently;modulo foolishly whoa;char
4;er harbour;overconfidently penguin instead;pace unknown plus
5;boo;eager trusty;webinar ouch
6;nor wealth at;culture wherever;geez ew wicked
7;even;herald loyally;poorly lest
8;even;packaging aside unimpressively;bleakly void oh
9;watchful ack;amidst;vice
10;fumbling positively;abnormally or pilot;urgently skedaddle lightly
