id;datumbegingeldigheid;datumeindegeldigheid;geometriepunt;geometrievlak;identificatie
1;2024-05-05;2024-05-06;yippee bewail lively;happening;regarding during
2;2024-05-06;2024-05-05;gladly delightfully;ack around;how dual favor
3;2024-05-05;2024-05-05;up;which too;ack bark
4;2024-05-05;2024-05-06;valiantly boo dunt;yuck;while atop
5;2024-05-06;2024-05-05;able hourly lest;hydrant dress;deep
6;2024-05-05;2024-05-05;pish;phooey;soft
7;2024-05-06;2024-05-05;rustle lest;maestro cup;afore cheerfully unaware
8;2024-05-05;2024-05-06;incidentally;yahoo accidentally um;deepen aggravating reconfigure
9;2024-05-05;2024-05-05;hilarious midst ew;opposite;jealously frantically
10;2024-05-05;2024-05-06;ajar absent temple;detection;modulate excluding unlike
