id;categorie;commentaar;duur;wet
1;mist searchingly;even figure;lest rumor near;nervously eek bludgeon
2;sprinkles SUV meet;apropos;delirious readily opposite;vastly awkwardly
3;prod ankle next;regroup carrier village;till;boo between for
4;vainly beside;erosion;yuck;bah repeatedly plug
5;versus;after;confute kindly;overdevelop
6;or;jealously;lest soon;preference liquid
7;which;um;out;scooter
8;unwilling doubt permafrost;huzzah apprehend;whereas control forceful;woot regarding frontier
9;curiously gore gah;considering;for;about
10;enrage huzzah;badly;growling spark;abaft
