id;commentaar;score;wet
1;oh never;furthermore query;resort gah
2;gracious brightly;upside-down unless shipping;evening
3;for ululate visible;before rapidly;which rubbery
4;sweetly oh repeat;redial unless awesome;which whopping however
5;gerbil investigate;glossy weather who;decoder throughout
6;zowie salty;flat bond amongst;when negative
7;unleash inasmuch sleepily;lively;overindulge deceivingly
8;through;provided poorly;fabulous redeem riot
9;when weepy secularise;afore stimulate;actual
10;mole beside;flop;yahoo major besides
