id;code;commentaar;datumafgifte;grondslagen;wet
1;and;unexpectedly big-hearted;2024-05-06;besides;eek noun disconnection
2;per;instead harmonize;2024-05-05;relative;above phew joyfully
3;strictly outgoing;prohibition granddaughter ick;2024-05-05;rowboat irrigation gadzooks;till
4;aside sweeps till;versus;2024-05-05;reopen toward plunge;plaintive
5;wed once;arrogantly athwart;2024-05-06;rhubarb;smoothly
6;considering now;actually prescribe pace;2024-05-05;off boiling spiteful;flume consummate
7;present inventory;gleefully rudiment course;2024-05-05;till blah;so inasmuch
8;sarong finally;mmm;2024-05-05;famously worst mangrove;esteem meh midst
9;although;crusade;2024-05-06;ha;inasmuch provided phew
10;truss even yippee;amongst gifted;2024-05-05;unless;ew aw
