id;code;datumeinde;datumeindeoorspronkelijk;datumstart;eenheid;frequentie;leveringsvorm;omvang;redeneinde;status;wet
1;delayed odd till;2024-05-05;2024-05-06;2024-05-06;ouch inside hourly;moderate diabetes;train burrito mailer;worriedly;for;whenever;pessimistic
2;despite soup gently;2024-05-05;2024-05-05;2024-05-05;and boastfully icebreaker;secretary stunt;vague;brightly abnormally slight;quicker;reacquaint;stump
3;like;2024-05-06;2024-05-05;2024-05-06;bland until apud;unimpressively;taxicab valuable;instantly ecstatic dodge;apud oof;whereas;ha
4;mid initialize shape;2024-05-06;2024-05-05;2024-05-06;foresee;afore insubstantial exclaim;sender;whoever;furthermore scarification fondly;up;stravage elegant remain
5;woot;2024-05-05;2024-05-06;2024-05-06;delirious than;lovingly;sternly gah;meh but;voluntarily solemnly considering;whoa;foolish upon along
6;eek yum;2024-05-06;2024-05-05;2024-05-06;bellyache um;quicker likewise;a promptly likewise;indeed ew in;casket around;equal;certainly absent
7;peppery untrue magaz;2024-05-05;2024-05-05;2024-05-05;collar too;duh lay;unless;clonk oh if;second;extol;brief
8;while round um;2024-05-06;2024-05-05;2024-05-05;towards mmm giant;except;strident seriously;obedient;magnet;afore who;liken gah opposite
9;generally per collap;2024-05-06;2024-05-06;2024-05-06;gently awake wearily;actually nylon;gosh parcel pedal;angrily;whoever;joint act;interesting bah
10;eventually lest adep;2024-05-05;2024-05-06;2024-05-05;wherever from;thud;of impassioned;by;punctually;qua busk;round wear
