id;besluitcategorie;besluittypeomschrijving;besluittypeomschrijvinggeneriek;datumbegingeldigheidbesluittype;datumeindegeldigheidbesluittype;indicatiepublicatie;publicatietekst;publicatietermijn;reactietermijn
1;upside-down humanize;thoughtful;inside empathize ick;incidentally ew after;drat;ajar quickly revolt;expression semicolon;mechanically once;whereas until
2;excepting as;canal fooey for;yippee enormously;craw smug;woot;rage;fluffy yahoo how;discolour playfully golf;even
3;loftily;encounter before;silt;tensely in;hype cleverly;freely;hemisphere sluice lively;toward;drawl
4;worthy;apropos;ectoderm properly;forsake;authenticate lurch anatomy;yuck circa;whenever off exterminate;boohoo;deserve parboil supportive
5;sensor yum;in;a aw table;plus gadzooks;usually;ink boo;if failing;phooey finally;down cultivar
6;fax;gee piety;tomorrow fast how;vitiate;incidentally;er hmph;oof subdue whose;likely than;rust champ
7;and ornate meh;pretty scorn;decriminalise woot beyond;whoa yowza;an than syringe;overcook;recent;phrasing gadzooks formal;refresh daily
8;antennae scary;but hideous;er behind;until calculation;wherever;per;unwilling although;alternate finally;absentmindedly voluntarily
9;woo;of dutiful mmm;over;judicious flex;tightly lovingly frivolous;fairly weakly phooey;amidst;yet;because flair
10;smoggy;blindly licorice;like huzzah produce;mockingly over;quaintly frail certify;carefully absent;to fragrant when;glimpse;jubilantly oh
