id;bedrag;datumtijd;omschrijving;valuta
1;29081.08;of vanadyl phooey;candle circa stab;mmm
2;32588.68;rudely youthful truly;televise mmm finally;pfft fast loosely
3;13717.54;ah;actually sculpt;pancreas apply incidentally
4;24933.74;till despite;but while;furthermore proclaim zowie
5;28576.43;architecture until;savannah that;whoa because
6;4339.42;strictly duh splendid;freely;immediately belie
7;7758.5;pink;regularly prize afore;trespass save thirsty
8;22871.05;towards mortise reluctantly;which so;midst quirkily
9;3301.82;afraid where;fasten whereas creep;arrogantly short-term keen
10;4574.78;selfishly;underneath orchestrate;during
