id;bouwjaarklasse;bouwjaartot;bouwjaarvan;indicatie;omschrijving
1;ottoman whether;end prioritise eviction;severe;cheap gr;cloudburst puzzling
2;geez nutmeg;assist yippee;promptly whoever;anti;once below
3;underneath;aboard yet;loan;athwart ;offensively clipper absent
4;excepting;how console;around;gene;perfection
5;door;geez like;whereas;waffle;drat as
6;mountainous ogle while;past;inasmuch;vainly;complex unfasten following
7;whenever about selfish;upon;quarterly on;arid;provided healthily
8;coolly;aw reoffend pleased;bed;calmly p;act lustrous unimpressively
9;gainsay wrecker;ah;uh-huh;enchanti;yum graceful qua
10;tensely overstate;drat;how fat;sense ri;down
