id;hoofdstijl;substijl;toelichting;zuiverheid
1;merge unless;yet unique;mince that frightening;crushing ew
2;zowie a whether;over;remarry mid;classic while which
3;wearily;likely;near skivvy;through for even
4;sympathize;improve pendant voluminous;suspiciously unless far;exact
5;relapse;guilt abound inborn;but around;worriedly
6;grab-bag before multicolored;yet till mmm;toe rusty lest;minus creolize until
7;once gosh oh;until out;bowling congeal beside;because
8;caring within supposing;boohoo;dictator;pish
9;hence;major;ha ouch;crisp coaxingly
10;duh yuck seldom;or beneath;for;oh barring
