id;adresfunctie;datumaanvang;datumeinde;omschrijvingaangifte
1;bayonet;2024-05-06;2024-05-05;flood golf duh
2;huzzah barring;2024-05-06;2024-05-06;repository delete wonderfully
3;anise turnover;2024-05-05;2024-05-06;gadzooks abnormally
4;jest;2024-05-05;2024-05-05;remarkable
5;powerfully;2024-05-05;2024-05-05;closure
6;ouch fatherly;2024-05-05;2024-05-05;ah merry
7;friendly;2024-05-05;2024-05-06;justly overconfidently
8;yum;2024-05-06;2024-05-06;unto wonderfully
9;welcome;2024-05-06;2024-05-06;petticoat as
10;willing until;2024-05-05;2024-05-05;including dwelling
