id;aktegemeente;datumdocument;documentgemeente;documentidentificatie;documentomschrijving
1;ugh nor;record leverage;because outgrow;digital phooey;cruel tapioca
2;geez athwart disorientate;impeccable;whether frightfully;huzzah;um
3;wherever positively;mouse;pish during vanity;utterly evergreen;this palate
4;outplay badly allow;how besides;hastily where opposite;whose;that zowie
5;yahoo microwave;wild successfully;eek incidentally ick;usually;aboard
6;majestically;tussle;tone;fuse ah;aha but ew
7;prime whereas;stiff scarcely last;faraway behind ugh;beneath yowza once;out wherever uh-huh
8;wig into vulgarize;phew;collectivize smart;vivaciously;interview
9;hand jostle;hence;whenever;noisily label;ah
10;thin nor pot;diet;hybridisation up;filing furthermore;midst brightly
