id;buurtcode;buurtgeometrie;buurtnaam;datumbegingeldigheidbuurt;datumeinde;datumeindegeldigheidbuurt;datumingang;geconstateerd;identificatie;inonderzoek;status;versie
1;unnaturally boohoo incidentally;and;wraparound drat upbeat;2024-05-06;2024-05-05;2024-05-05;2024-05-05;false;nasal fool;true;suddenly;politely
2;bone smog cuddle;rudely insubstantial when;drat who puddle;2024-05-06;2024-05-06;2024-05-06;2024-05-05;false;clear-cut where but;true;forward than;down given woot
3;mellow chromolithograph below;blah uh-huh;while;2024-05-06;2024-05-05;2024-05-06;2024-05-06;true;grotesque beside lightly;false;entrench;ha
4;ha;surprisingly;but;2024-05-05;2024-05-06;2024-05-06;2024-05-05;true;anti jumper;true;gee;ew
5;milestone;wonderfully;whenever;2024-05-06;2024-05-05;2024-05-05;2024-05-05;false;unlucky;true;times whereas whopping;within ration
6;closely ha unless;bedazzle;sympathize with;2024-05-05;2024-05-05;2024-05-05;2024-05-05;false;commiserate alongside advocacy;false;spotlight remark;modulo suddenly where
7;landmine boo;furthermore lest;apud soon pfft;2024-05-05;2024-05-06;2024-05-05;2024-05-06;true;log underneath outfit;true;stiff yawningly;provided geez
8;fight as;calmly pledge pain;versus until blare;2024-05-06;2024-05-06;2024-05-05;2024-05-05;true;searchingly;true;whoever;rank
9;courteous pish;daintily abaft;pray;2024-05-06;2024-05-05;2024-05-06;2024-05-06;false;yowza frail earnest;true;through previous;daintily colossal vain
10;midnight;swiftly;disincentivize hopelessly ah;2024-05-06;2024-05-06;2024-05-05;2024-05-06;true;scarcely;false;off;after lavish
