id;code;gezagsdragergekend;juridischestatus;wettelijkevertegenwoordiging;heeft_participatiedossier_id;heeftvoorziening_inkomensvoorziening_id
1;ultimately mundane operate;true;flow ascend;searchingly among hospitable;1;1
2;pish jubilantly spirited;false;whether;punch and;2;2
3;so emergent;false;blah;exactly anxiously;3;3
4;whoa yummy;false;since;reset amid winged;4;4
5;elegantly;true;aha knobby alive;helpless;5;5
6;yellowish strawman repeatedly;false;including;rage um;6;6
7;downchange mall joyfully;false;drown;dreamily;7;7
8;peach;false;though hastily ew;careful;8;8
9;cruelly hm lay;false;prime concerning midst;common politely role;9;9
10;gee plus mid;false;carefully while;ick mellow violent;10;10
