id;cultuurcodeonbebouwd;datumbegingeldigheidcultuurcodeonbebouwd;datumeindegeldigheidcultuurcodeonbebouwd;naamcultuurcodeonbebouwd
1;wary to supportive;2024-05-06;2024-05-05;separately highly hm
2;supposing oh cautiously;2024-05-06;2024-05-06;knock frenetically nicely
3;lope so;2024-05-06;2024-05-05;pace third than
4;lest skirt;2024-05-06;2024-05-06;tricky consequently subsidize
5;chaff;2024-05-06;2024-05-05;throughout until
6;afore;2024-05-05;2024-05-06;deafening underneath yowza
7;urgently unless woot;2024-05-05;2024-05-06;parent for boohoo
8;round irresponsible since;2024-05-05;2024-05-05;revitalise songbird
9;huzzah;2024-05-05;2024-05-05;dynasty speech
10;almost;2024-05-06;2024-05-06;ah while woefully
