id;architectuur;database;databaseversie;dbms;omschrijving;otap;vlan
1;sheepishly about;wherever stave hmph;strictly beside;once whereas;through;stretcher why;whenever
2;whether direct echidna;unless meh via;ornery;excluding fondly;career per;yet phooey or;before minister false
3;notwithstanding yum speedily;phooey;or dimly unnaturally;fooey;while nifty;minus;roughly fickle
4;woot weave hmph;pirate fail once;bah outside quizzical;trunk;notwithstanding recuperate ah;circadian;so
5;miserably harmonise;till;unimpressively;foolishly;distorted;nominalize faithful adjective;forenenst though
6;bin till;when of united;lightly;jumper across;aha birdbath belated;now play mixed;like that playfully
7;eek quirkily gossip;screen;whenever sparse;geez sans victoriously;worthwhile some despite;for overhear puppy;distorted whenever
8;um ugh untrue;near;indeed;duh;board uh-huh rile;thunder rural;reasonable
9;underwear shakily;hairy hydrant than;last elegantly coddle;append lazily mid;invasion;sub admirable;the mortgage pish
10;loosely depersonalise;helpless counselling;wonderful;since worth lest;nippy;phooey huff even;aha
