id;datumdeclaratie;declaratiebedrag;declaratiestatus
1;consequently sternly;drat someplace;meh ha huzzah
2;generously supply fooey;scientific vaguely where;in
3;hm;sedately;gah impossible
4;bail honestly huzzah;intervenor but hiccup;insubstantial after chit-chat
5;interval;intention before;early
6;doubtfully;wonderfully;beneath meanwhile
7;considering import from;potential;hm trap
8;stand bird;blah;pfft forenenst
9;transit whoa boo;fooey suspicious mysteriously;implode
10;whoa;quaff oh;wonderfully
