id;cocumentbeschrijving;datumcreatiedocument;datumontvangstdocument;datumverzendingdocument;documentauteur;documentidentificatie;documenttitel;vertrouwelijkaanduiding
1;really;amid equally;than whoever gust;freely junker woozy;self-assured overload;inasmuch stunning;who selfishly;side how concrete
2;upsell productive frayed;slider boastfully;battalion woot as;phooey pet;pish;presage;wreck less;deadly for easily
3;along save;yuck aw for;recur;gray phew;underneath;bitter excepting enormously;fault;hydrogen around
4;um;pish;across;barring;against;paltry blah;consequently;reader because
5;gosh tweak;within aha;hence gosh geez;fit collide;tidy rubbish slowly;devil quizzically;smolt hence;regarding ugh fooey
6;bah;issue skeletal passionate;mocha deduce;race amusing beside;pressure spreadsheet intervenor;aboard bubble;meh gadzooks;saw
7;wetly goldfish;gah fooey yearningly;failing;valuable that;sick excepting waiver;splendid lumpy opposite;after showy;ick mild grubby
8;but bookmark;excellent ack slow;boyfriend forceful;instead;vigorous;along psst;pfft that;arrogantly than heav
9;perky pod;seldom skyjack;vapid innocently yet;hatred;neat step;broadly;whereas athletic;excepting
10;macaroni by general;buttery for;zowie;cucumber whereas demanding;who timely whether;override tomorrow;scratchy for phooey;lazily soupy cogitat
