id;datumbegingeldigheiddocumenttype;datumeindegeldigheiddocumenttype;documentcategorie;documenttypeomschrijving;documenttypeomschrijvinggeneriek;documenttypetrefwoord
1;till failing;minus falter refresh;yum lending formalize;brr successfully pressurise;gargantuan;by troubled
2;gray;domesticate triumphantly sitar;aw bah drat;linseed joyfully safety;how glucose;rudely
3;furiously;oh fatherly frog;inasmuch wrongly diphthongize;till a wholly;phooey;worse
4;whereas;tricky yawl on;well drat;juggle indeed;drafty weakly bead;animated
5;pfft;furthermore voluntarily against;wherever oh;till;formula bad;skirt gale visible
6;official south;bowed dagger photodiode;ew yum;pug joyfully;who selfishly;fancy feminine equal
7;opposite fooey repeatedly;unlike;yuck;poorly inquisitively;failing reluctantly customer;amusing woot
8;alongside failing;meh;enthusiastically;unless stealthily marginalize;tamale suddenly world;eyeglasses under
9;about utterly;whose;reoffend;bravely;out cap winding;carelessly
10;rust whoa;exotic brr hm;medicate;web gah attached;wholly yippee;ick generously
