id;branch;naam;omschrijving;segment
1;upset geez;gee;nearly being mechanically;gadzooks cuddly
2;what;ew skirmish gaiters;save gosh;decent
3;alongside;short;round;yum
4;or yuck needily;indeed substantial round;bustle minimise;midst
5;tall;office er workplace;than afraid tan;blindfold
6;instead incarcerate bravely;valley beneath;aboard save monthly;bonus at scallop
7;meaningfully;frantically;considering absentmindedly;highly
8;quicker;tomorrow wall aw;worse;for
9;seal likewise;furthermore mainstream poor;jubilantly mortality;provided anti aw
10;what convalesce upward;expose dutiful stealthily;ah recrudesce;softly macrame
