id;doosnummer;herkomst;inhoud;key;keymagazijnlocatie;projectcd
1;than up;tart within;connect tow-truck;vernacular assured hmph;vainly grown yippee;curl eggplant
2;misty;after view;although what kindhearted;except fearless mask;across;thankfully
3;night meanwhile;though concerning afore;boastfully success;hmph sympathetically;ah;meh
4;dutiful;gratefully wholly rapidly;amid accurate;sparkling;except;fooey zowie
5;gleefully;apropos;sedately;tremble meager quaint;rinse for usefully;presuppose via
6;unique;via;plus threaten;unlike amusing decadence;stormy given;stiff where
7;enraged concerning;blindly;demystify;villainous;large accessorize;anticodon
8;jealousy since;visor;reference traumatic;riot amongst;duh key;exasperate rich standard
9;oblong;how designer;perfectly;finally story-telling above;grudge;esteem
10;than deficient statue;within sadly;rewind eventually import;vanilla whenever;spool;billboard minus
