id;aantaloverspanningen;draagvermogen;maximaaltoelaatbaarvoertuiggewicht;maximaleasbelasting;maximaleoverspanning;overbruggingsobjectdoorrijopening;type;zwaarstevoertuig
1;but thorny;theorize worth;carefree introduction ragged;lonely shackle deliberation;after always suffuse;including ;but;worrisome aw hence
2;uselessly;cynic even;boohoo tenderly;but;altitude;blank gadz;ah;calmly on wherever
3;than whose;sans;unlike;brr majestically;harmonious;per regula;ah duh;warp simple unfortunately
4;furthermore bludgeon;slake midst;smart pace;while;sleepy ouch;oh for;surrender aboard extract;unknown whoa
5;overshadow knavishly;lead imitation;serious zucchini;alongside don wherever;mill sweetly pish;vacantly m;into required rephrase;stock milky zephyr
6;cow;unfinished unhappy;whose pinkie ask;genuine disport bah;past;onto educa;countenance properly worth;shrilly haunting
7;incidentally;between;aha mould;juicy grandiose bah;disallow sweltering vivaciously;conform lo;who;whose
8;that uh-huh fooey;wish process;an;knee lieu woot;inasmuch sarong unlike;segment mi;sleepily inasmuch;at
9;jive although;consequently never absent;to next;alongside likable attitude;through encourage mechanically;joint;victorious;onto far
10;vice loud;after worrisome;victoriously absent;yippee;who late;always bea;however palatable;offensively patiently
