id;ecomponent;ecomponentcode;kolom;kolomcode;regeling;regelingcode
1;mmm;than satellite righteously;wherever amid;the;bruised frankly;under graze
2;ew chastity tut;broadly;punctuate an;incidentally;bah messy;burly
3;winery;whose eject;boo despoil;watery kaleidoscopic;along where optimal;vivaciously knock
4;last;butcher;fleece apropos elegantly;notwithstanding;whoever;gigantic spiteful
5;out;disregard;pronoun;whereas;especially;expensive hippodrome bitterly
6;yuck beautifully;toward;routine;remediate whoever futon;naturally nor blah;woot once
7;weakly;as;chortle dapper;generously nor boo;after defensive;sunbonnet yuck daily
8;boo between;till violently inasmuch;mostly around;smart loosely;madly before;tangible stand
9;dragonfruit city huzzah;whether since yum;even;white geez successfully;memorise zero now;duckling candy certify
10;cute yuck;frantically incidentally pish;ah;incidentally suspiciously;er;during
