id;adresbinnenland;adresbuitenland;domein;geometrie;identificatie;indicatierisico;kadastraleaanduiding;naam;eobjecttype;toelichting
1;perfumed incompatible at;interrogate gargantuan;employ;defiantly;because meh truthfully;char;inasmuch difficult;generally;beyond queen although;sneaker fully twist
2;sternly ugh pluck;immediately scientific;when on;brightly;contagion pirate brain;round overeat pinch;freezing hence;which lemonade;revivify diligently functional;hopelessly vapid
3;noise since;purport;whose jittery affectionate;quaint adored beneath;concerning editing;pew behind;resistance dilapidation absentmindedly;ream;yuck;ha
4;ritualize afore wherever;gosh;easy;glamorous twinkle aha;meanwhile forked lest;bootleg;suddenly misjudge;liquid whenever mushroom;once;after yet
5;wisely;via gah;scimitar smoothly;acceptance anenst;spyglass quietly perfectly;ha;knottily as whoa;physically;seemingly;onto than dodge
6;woot failing dose;too before scatter;colloquy bitterly;yowza fall till;wise brightly yuck;instead fondly after;mistreat correctly salty;aha;valiantly concerning unnaturally;oh
7;or the mini;hm unless;automatic iron;after slow;overhead;stacking enchanted;instead;compassionate;below;shocking viciously zowie
8;between less stealthily;fatally;pilgrim verbally;ouch whoa growl;gah;whoa;overwhelm;than;oof likewise;shelve unnaturally while
9;music-box lean vote;suspenders;inasmuch helpfully lonely;whistle uselessly;twang;flog;apropos inasmuch;advanced;dilution edible across;the
10;questionable when;break handicap phony;quarrelsomely;poised yawning;measles big-hearted;other urgently;firsthand;toward clot;aha although;mechanically
