id;naam;proces;project;status;toelichting
1;ugh;mysteriously;knavishly;whose not voluntarily;yet authentic
2;lively;than;where delightfully grumpy;sympathize;wary meanwhile zowie
3;shoulder;astride;sleepily flaky pressroom;ferociously;unless provided
4;dawn after meh;neighbour wetly who;chafe;excepting um;excluding inside
5;vinegar meh;fair;desktop;enchanting morbidity warp;infantilise readily anticipation
6;dearest;however ick bluff;so expedite;mortally ridge;oh growing licensing
7;greedily;among besides hm;solemnly;stymie;warmly
8;ouch adored;upon;uncover;acidly;ah gosh
9;pace terribly;really ugh;unto;chlorinate before although;intently
10;absence ton when;shakily um absentmindedly;these hm crooked;concerning phooey suddenly;drab indeed
