id;dateringtot;dateringvanaf;omschrijving;titel
1;interestingly excluding gah;um disguise over;arctic apropos whose;upon
2;defensive generally;within frenetically whoa;demand outside;ouch perky even
3;restfully supposing;mid;whether quickly;frosty lighthearted afterwards
4;above digital sweltering;yippee likely;kissingly cheat;food
5;tremendously for naturally;dreamily fervently bullet;afore;ack confectionery demotivate
6;amidst expensive;thoroughly corrupt;annual gore;prance yum yahoo
7;speak lighthearted;violent down;used fooey;at absent excepting
8;aboard;tomato after;fooey before;sire
9;lovingly parlay;considering barbecue fixture;soon;fooey word woot
10;coarse sidetrack generously;portend pendulum;meanwhile fling;successfully throughout taste
