id;betaalbaarper;betaaltermijn;code;datumfactuur;factuurbedragbtw;factuurbedragexclusiefbtw;omschrijving
1;optimistically;intently affectionate;nicely;mmm costly;12636.97;incidentally;since
2;blah;when;something or chaise;hydrolyze;5928.24;duh gadzooks;condemn following
3;glow;mostly how if;unless;finally eek;29127.13;abaft;thoroughly rap zen
4;openly;supposing deceivingly the;usefully through;a;8627.82;urge career;blah um steep
5;midst;queasily bah;nail ugh;phew;16067.42;mild only golden;where yum
6;dote sadly;gadzooks impish but;underneath inwardly;pillow;10584.85;mortally;though
7;coach lopsided clause;while once ragged;readily girlfriend;but woot;9208.47;supposing perturb inspect;trader yang
8;tell down;that whirlwind brisket;supposing;bubbly yowza;9737.32;chipmunk filthy;boldly
9;only since;rap shore unimpressively;phew;diligently;3995.46;bibliography mmm after;recipe unimpressively while
10;delivery absent candle;beneficiary handmade hastily;phooey quirkily can;boo;31746.49;afterwards;owlishly
