id;aantal;bedragbtw;bedragexbtw;btwpercentage;nummer;omschrijving;heeft_factuur_id
1;um;25943.65;21359.74;alienated bin;alternate;now;1
2;assured flustered;1134.99;16486.66;via swathe;nor;whoever squish thing;2
3;overconfidently term that;2707.27;27615.88;kiddingly who;ack uncertainty;behind than inasmuch;3
4;hence venison;26372.31;7676.16;unlike;so burrito;quicker jealously oh;4
5;furthermore;15497.24;4217.03;victorious retrace versus;eek duff thrash;meh;5
6;circular ginger surprisingly;23566.67;17340.44;which beneath;since;faze mmm demoralize;6
7;wonderful helplessly channel;5160.44;20677.3;meh;meanwhile before myth;daub sun;7
8;developmental;10964.85;3470.08;boast whose uncommon;model scarily actually;dose countermand;8
9;gleefully meanwhile;13026.16;518.1;pristine self-assured;digital outrun than;lyocell;9
10;complete spectacular;12348.66;10210.03;burly;oof;fitness modulo wearily;10
