id;aantaloverspanningen;belastingklassenieuw;belastingklasseoud;draagvermogen;maximaaltoelaatbaarvoertuiggewicht;maximaleasbelasting;maximaleoverspanning;overbruggingsobjectdoorrijopening;type;zwaarstevoertuig
1;till;wish;consensus potable;aw fly;romaine upward haze;parenthesis inventory decisive;indeed beech afore;aw;hoick;silver until
2;striped wiry;loss hence radiosonde;insolence;gladly the;reignite whose;and;notwithstanding loop round;senator;trade ill-fated weakly;deluge
3;where;innocently demineralise;keep;pleasing regarding;outrun out ick;badly gearshift;dual;loyally af;phew;tensely extremely brr
4;ugh oddly surprisingly;merrily;gently;tidy;underpass and onto;regarding;bare pro;ditch in a;despite;pish skeletal
5;trip novel;only;population;furthermore;unimpressively;comment lunch;from unzip blench;reasonable;rapidly;furthermore
6;phooey;amid;playfully how;when other;impassioned reservoir pish;from;and at sizzling;economize ;nor anti vice;authorization adorable
7;phooey wherever until;phooey secrete absentmindedly;portion;patio except;anticipate apropos lazily;iron woot;toward scarcely;festoon so;what havoc;yowza disincentivize quantify
8;when;lively;concerning;fit;ha;root;mechanically cooperative putrid;jovially y;flawed;hmph
9;browbeat;huzzah by;across hatchling;portly;so deeply;underneath zowie carelessly;golf;clothes or;enchanted and;somber fast
10;gruesome;pro an;legislator ah;unless;mint;blah;sleepily easily;save provi;subconscious zowie pfft;scrawny
