id;helptekst;isverplicht;label;maxlengte;veldnaam;veldtype
1;hearty forenenst boo;true;bah tenderly meh;nocturnal once;kissingly round;pith
2;rule;false;what;tensely;rudely abut halloween;perpendicular
3;powerfully;true;ouch dislike vast;consequently;something fond;acrobatic pfft blond
4;yahoo affair;true;times modest;heavy till;when;confuse atop hallucinate
5;legacy bitterly snowstorm;false;loudly stranger;affectionate;inside influx utilized;ugh
6;reel between;false;stomach;whereas eek;gently;aggregate questionably strictly
7;yearly ick;true;er;protection;airforce jaded concentration;decree slouch ick
8;upon sparrow speedily;false;sophisticated;ping thyme dearly;courageous victoriously;yum
9;thickness zen majestically;true;plead aside;zany scornful at;brr empty crayon;on
10;lest unbearably;true;valiantly motionless;pace trim wetly;eek;drat unnaturally
