id;bestandsgrootte;bestandsnaam;bestandstype;datumtijd;locatie;pixelsx;pixelsy
1;stew enthusiastically surprised;sombrero fact;whose;gah unfit tugboat;upon and immediately;notwithstanding versus;reunify validity
2;without;hmph;who fixed;darken supply desk;amidst qualify;ha whenever;noun limestone where
3;stable;badly;except whoever;uh-huh barring accidentally;pawnshop;weird;owlishly harsh
4;beneath rainy;communicate;dearly;ick some forsaken;ordinary;rudely via impanel;instead
5;speedy until;whoa brr because;slobber;grasp;yippee;till ouch pro;nourish thoughtfully among
6;century curiously snorer;qua hastily powerfully;anti grimy gleeful;fooey;runaway opinion;meh oddball;yoga chief
7;ew;than;punctually biff piddle;treasured bouncy;confide at;why absent notwithstanding;broadly
8;hence ah few;turbulent hmph venerated;ha;unexpectedly repress;noisy interestingly helpfully;oversleep searchingly;separately labor adventurously
9;conjoin;mistrust;late;get;too;whose however;often
10;from beyond;diligent overturn seldom;yet;disability;an;madly belt harsh;save um around
