id;bedragfraude;datumeindefraude;datumgeconstateerd;datumstartfraude;verrekening;vorderingen
1;softly rite ick;mmm jubilantly;furthermore before duh;excellent um as;gee bewilder variable;unwilling psst
2;recapture woot;psst;beside;till;boldly;than bravely an
3;pace horsewhip yum;metal around except;toward new offensive;if imperturbable uh-huh;entrance unto conventional;mozzarella qua
4;fooey;for;a;legal supposing;brr;readily unusual sure-footed
5;kendo silently following;bar after;than ick;certainly madly sedately;out;squander yodel
6;meek zowie scarf;indeed glistening like;after uh-huh interest;minus;dress;lest phooey
7;wildly;harmful valid readily;antennae;spirited;predict trusting;gee that what
8;an;despite sandpaper;speed geez;onset onto;wildly lawful;blushing
9;when ugh;midst;fully aw;quixotic;less unsung sire;obi frivolous anenst
10;and jealously suddenly;incidentally;fossilise;curvy;brightly;agenda
