id;functioneelgebiedcode;functioneelgebiednaam;omtrek;oppervlakte
1;far;chalet finally;happily reappraise annual;seriously
2;micturate quietly hu;psych;aw;quarrelsomely gah
3;muffled seat angrily;unleash;yahoo;merit eek yum
4;frequent vivaciously;adore circa;biosphere assistance duh;invert
5;till single equation;upon blah machine;sans snoopy;duh
6;delightfully ah bowt;hesitate;huzzah;journey afore backtrack
7;both;spare during;handball;now brightly
8;disrobe however wind;waist untrue;fooey;lest
9;into sort sans;ew;nation excluding;if
10;elegantly eek;indeed eek;beak alternative too;tasty
