id;datumgeboorte;geboorteland;geboorteplaats
1;within lest;tendency refloat;large humongous
2;wisely;zowie known;muddy vigilant secede
3;beneath correctly;yearningly affidavit blah;salty into eek
4;apropos culture tunic;witter obediently;and generously roam
5;possible gosh urban;photoshop if so;likewise smoothly jaggedly
6;whenever;after boo gah;coaxingly ugh
7;including easily;dehumanise;whoa
8;set;utilize;what alongside
9;mmm;avail;why store energetically
10;pro incidentally;lest physically;following fooey
