id;aantal;aantaladressen;aantalkamers;aardgasloos;duurzaam;energielabel;natuurinclusief;oppervlakte;regenwater;bestaatuit_plan_id
1;bright;punt next fluffy;once rowdy ew;false;false;patiently babyish fabulous;true;aha;true;1
2;amongst furthermore before;devour finalise on;therapist;true;false;gorgeous breakdown;true;scarily;true;2
3;harpooner save;er defiantly;shakily;false;false;or loading unkempt;false;around furthermore;true;3
4;versus;though furthermore aw;threaten forenenst;false;false;plus usefully throughout;false;after woot optimist;true;4
5;incident known;fire gosh apud;shoot;true;false;joshingly;true;clutch rerun;false;5
6;scarcely submissive demoralise;anti yippee furthermore;foam catalogue dazzle;false;false;pfft why considerate;false;with infatuated;false;6
7;breadcrumb remote disparity;underneath;starry;false;true;barring;false;emotional apud;false;7
8;naturally cruelly briefly;consequently;actualize;true;false;piggyback;true;via consent violently;true;8
9;um solemnly;absent solidly intensity;oof;true;true;cravat fragrant;false;but standardisation;false;9
10;lurk;whose provided;till;false;false;pledge whose along;false;phooey toward aw;false;10
