id;bouwkundigebestemmingactueel;brutoinhoud;identificatie;inwinningoppervlakte;oppervlakteobject;statusvoortgangbouw
1;boohoo whoever;freely partially that;woot bill;robe;modulo apud;oof
2;quarrelsomely;even seemingly lest;dry whose wooden;righteously;aw mid;frizzy
3;meanwhile however;warm;meanwhile still trounce;catalog till fame;excluding;periodic aw while
4;snort boot which;from;before for;meanwhile;huzzah duh;whitewash
5;drain rightfully dop;absent via;croon;abaft;questionably zowie contradict;bold um
6;short forenenst dimly;enactment;gee;notwithstanding;while;duh why
7;notwithstanding;market instantly an;joint;boo fatally whoa;lest okra;which scoop
8;grimy buck;the noisily scream;absent apud flavour;punctually past whoever;limply joyfully yowza;woot helpfully
9;courageously sheepishly;access pace overestimate;ruffle;outside riddle fooey;request;cache sad
10;incidentally rampage until;shoddy hmph;phew;excited real;load thump;elver yahoo cute
