id;datumbegingeldigheidgebouwinstallatie;datumeindegeldigheidgebouwinstallatie;geometriegebouwinstallatie;identificatiegebouwinstallatie;lod_0_geometriegebouwinstallatie;relatievehoogteligginggebouwinstallatie;statusgebouwinstallatie;typegebouwinstallatie
1;2024-05-05;2024-05-05;speedily who generalise;phew;espouse ack;snoopy;bandwidth;inasmuch normalize mull
2;2024-05-05;2024-05-06;bah between;collectivisation passport zowie;as about;gosh gah;outside;stepping-stone off crib
3;2024-05-06;2024-05-06;really ew;icing;bashfully warmhearted;which;what extremely instead;side yippee
4;2024-05-06;2024-05-05;queasily huzzah;besides mobilise ill-fated;mixed exactly;pseudoscience brr;pristine;turtle righteously violate
5;2024-05-06;2024-05-06;once midst;unionise front surface;seafood;positively cadet;auto agriculture;attacker
6;2024-05-06;2024-05-06;maize enthusiastically infuriate;avalanche;along factor;cirrus woot inasmuch;yum;whether angle salvage
7;2024-05-05;2024-05-06;yearningly clip;victoriously;whereas;save gore silence;excited;battle
8;2024-05-06;2024-05-05;fully pace categorise;swimsuit inside entrance;lovingly peaceful meh;march;next madden;excluding boo apparel
9;2024-05-05;2024-05-06;open bench digress;mysteriously;likewise incidentally;gleefully novel;while brain;menacing disgusting descendant
10;2024-05-05;2024-05-05;urge daffodil because;focalize;pricey unselfish;boo;submarine absent;functionality
