id;datumbegingeldigheid;datumeinde;datumeindegeldigheid;datumingang;geconstateerd;gemeentecode;gemeentenaam;gemeentenaamnen;geometrie;identificatie;inonderzoek;versie
1;2024-05-05;2024-05-06;2024-05-05;2024-05-05;true;pfft sharpen;selfish hunt notwithstanding;vivaciously mould retch;nor;whereas unimportant carotene;false;feign
2;2024-05-05;2024-05-05;2024-05-06;2024-05-05;true;skinny laud nippy;energetically but meanwhile;past;tour puppy;duh weary boo;false;jubilantly
3;2024-05-06;2024-05-05;2024-05-06;2024-05-05;true;value;memory up;gadzooks;only whoa;unlike angle;false;care editorialize yack
4;2024-05-05;2024-05-05;2024-05-05;2024-05-05;true;parenthesis categorise;eventually monthly;about;repatriate geez inasmuch;jubilantly times silly;true;prevalence phooey noisily
5;2024-05-05;2024-05-05;2024-05-06;2024-05-05;false;recommence whoever decent;solemnly whose;generously prejudice;yum read;whoever;true;police black
6;2024-05-05;2024-05-05;2024-05-06;2024-05-05;false;diphthongise once afore;green when;inside;through quietly;upon;true;boohoo so friendly
7;2024-05-05;2024-05-06;2024-05-06;2024-05-05;true;meanwhile over;encumber pander;depot;sadly haircut aw;influx agony oval;false;though
8;2024-05-06;2024-05-05;2024-05-06;2024-05-06;false;apropos drat only;massive;upon excluding;mostly memorable;whose ew more;false;accordance chat
9;2024-05-05;2024-05-06;2024-05-06;2024-05-05;false;finally;healthy;ice rack obnoxiously;in pfft passionate;severe;true;pillage
10;2024-05-06;2024-05-06;2024-05-06;2024-05-05;true;rib following tenderly;packaging;growing;if;sweet;false;ouch after daily
