id;datumopname;definitie;eaguid;herkomst;herkomstdefinitie;indicatiematerielehistorie;naam;toelichting
6665b22e-63a7-42c1-b1d4-ba43985b4486;2024-05-06;drapes;afterwards;via;rowdy porch odd;true;gee;times
066a6eb9-87ea-4e70-976c-b817c849c078;2024-05-05;unwelcome unless;shed;mandate building;bail before derive;true;furthermore prickly;yet urgently
1ea16090-65a7-479e-9fae-fe73fa567903;2024-05-06;gracefully joyously weepy;likewise yippee;though shadow finally;inasmuch;true;meh yack motionless;upbeat pinion
ca311e7d-a757-4a6d-b4e2-6fffc75c0981;2024-05-05;among meanwhile procurement;dog;yahoo famous officially;phooey;false;porcelain coagulate;so
65a28b59-2df8-423a-8fcc-e2ee8fcc1e57;2024-05-06;lava;diligently;technique yuck chem;um;false;the meh who;wetly
46ae9217-4c89-49ff-aaed-72bca05dec1b;2024-05-06;gadzooks frost;divorce rant on;shirk spearhead;hammer doll till;true;dough;after than
1f1d026d-3739-479f-89ca-1dd6cd751492;2024-05-05;bleakly reorganise alley;long-term;absentmindedly;joggle gender;false;buzzard;mixed minister
c7cf38f8-ce8d-4e52-a63c-af8f3d1d5b8c;2024-05-06;buckwheat supposing;grimy;promptly telex;skill;true;stark;youthful opposite incidentally
104897d0-36bf-4188-a9b6-589943d9442e;2024-05-06;float clavier leafy;market although;mmm inasmuch;pro;false;wreak;mmm
3e5b9531-8659-43c0-98e1-7d743199548d;2024-05-05;so;far-off;pfft;whenever comparison shade;true;extremely palate;soon helpfully
