id;datumeinde;datumstart;datumtoewijzing;prijs;verrekenen
1;2024-05-05;2024-05-05;2024-05-05;444.71;thicken
2;2024-05-06;2024-05-05;2024-05-05;1007.92;pseudoscience plus
3;2024-05-05;2024-05-05;2024-05-06;30420.97;strut amid
4;2024-05-05;2024-05-06;2024-05-06;23138.51;wherever dull toward
5;2024-05-06;2024-05-05;2024-05-06;26822.94;until what
6;2024-05-06;2024-05-05;2024-05-06;19338.52;along
7;2024-05-05;2024-05-06;2024-05-05;1743.73;fatally
8;2024-05-05;2024-05-05;2024-05-05;16463.77;anti
9;2024-05-05;2024-05-05;2024-05-06;14980.5;unusual gush
10;2024-05-06;2024-05-06;2024-05-06;21251.08;mumbling attack hoarse
