id;datumbegingeldigheid;datumeindegeldigheid;geometriesoort;identificatie
1;dearest whether;until;relish;mostly petitioner
2;gastropod ouch;apt curdle;emblazon;at
3;external continent;monthly;at flamboyant;unimpressively
4;to best;divide;nor dab;meh umbrella
5;geez ew off;gosh denitrify;majestically;aw
6;deficient despite randomization;cave;between;fortify pointed
7;limply;woo atop pork;ice likable excluding;decline wipe
8;decry yahoo;courageously;times;boohoo
9;so aggressive;opposite courage;jug teletype surprisingly;monasticism yet ragged
10;subdued fumbling whereas;flatter;gullible though;ha
