id;bericht;datumgunning;datumpublicatie;datumvoorlopigegunning;gegundeprijs
1;yippee;envelop;hence;yet meanwhile;demonize reckless
2;um;devil as;frugal gah toward;ultimately bah;shoelace
3;colorfully acidic near;thumb overconfidently;salivate tutu;zowie cobbler throughout;heartfelt meh mispronounce
4;anxiously aha plus;eek rhinoceros;because;experiment wildly;wise
5;defiantly ha yet;once furthermore;where;ick;solicit
6;outside zoot-suit;while since grandparent;notwithstanding;meh yahoo moose;good
7;credibility;ha stealthily over;enthusiastically;consequently interesting behind;gobble oh
8;youthful;bookcase amongst supposing;roughly;for;sane nor
9;keenly hm harpsichord;unmask politely tidy;ha;while surplus;frankly rhubarb
10;jealously snivel;dozen cartload reconfirm;provided since;wok;imaginary ha
