id;afdoening;datummutatie;datumretour;memo
1;have seclude abaft;2024-05-06;2024-05-05;snip thoughtfully the
2;incense jaggedly fantastic;2024-05-05;2024-05-06;right
3;indolent sharply;2024-05-05;2024-05-05;square
4;wax geez lop;2024-05-06;2024-05-06;gratefully delete
5;monstrous focus;2024-05-05;2024-05-05;meh into
6;hormone blah gosh;2024-05-05;2024-05-06;outline
7;venerated;2024-05-05;2024-05-05;buttery binoculars
8;ladle while;2024-05-06;2024-05-06;glass
9;optimal;2024-05-06;2024-05-06;room disgust
10;helpfully whisker far;2024-05-05;2024-05-06;smother
