id;handelsnaam;verkortenaam;volgorde
1;in sorrow;behind per about;which rosy
2;instead whoa meh;down kooky school;consistency cassock
3;promptly wetly horsewhip;idealistic along;hound ew openly
4;sardine as big;clean;oddball phew pfft
5;after excepting drive;simple;lively bruised fang
6;including underneath lobotomise;kookily underneath now;modulo boohoo electric
7;firm;whereas barring;though unnatural bracelet
8;whether;computerize credit pro;that bite-sized mumble
9;whenever whether uselessly;when where furthermore;incidentally search
10;resolution um;harmonious;screwdriver
