id;handelsnaam;verkortenaam;volgorde
1;gee pace phenotype;coleslaw colorless animated;brr
2;unwritten;yowza;full chairperson despite
3;inasmuch ugh quirky;amidst why woefully;whenever midst
4;ew obedient;inwardly;er but bran
5;proud yet;bower out;pfft
6;while realign;airfield;digitalize
7;prey;within enrich supposing;legitimacy which blackfish
8;fantastic fluffy lack;around yet ha;kookily underneath
9;lilac amid;airdrop whereas sorrow;mealy
10;end hum meanwhile;buttonhole huzzah against;smoothly valiantly
