id;bedrag;code;datumindiening;gefactureerd;inrekening;nummer;runnummer
1;into supposing now;second whole;blah;false;under gah painfully;management attentive yellowish;mmm phew brr
2;whereas;virtuous baggy psst;bronze;true;knowledgeably;admirable;before
3;meanwhile hungrily detailed;barring fusarium;cohesion generously drat;true;quarrel;grown incidentally;briefly appetiser hm
4;mallard which;sans bad more;turbulent;true;unto blot;that;tomato meh turtle
5;finally drat;majestically;woof amidst;true;er;unkempt pfft;careful
6;state plate which;sans;ugh brushing;true;wrongly easily;ornate whenever wonderfully;however sternly
7;ugh unfortunately;meh delightfully;lovingly;true;semiconductor;meaningfully;psst beside master
8;ick list;from belch;objective but drat;false;perfectly after input;pleased amend;lest
9;past about;ha oldie pesky;invoice yum persist;true;toward;damage;likewise
10;merry step burglar;from yet;forenenst broadly;true;relay winds fooey;joyfully whoa contain;above
