id;bedrag;domein;hoofdstuk;omschrijving;paragraaf
1;31371.29;poisoning hard-to-find;fedelini;immediately reconnoitre bran;which dr
2;13917.35;amidst;soon;gunpowder transition;defiant
3;26591.65;peppery;heavily;zigzag neatly;loyally
4;14337.96;after whenever seldom;intent;separate or;llama
5;31232.22;mollycoddle over;help;behind;beyond t
6;23758.72;drat;thrill ironclad but;huzzah chlorinate next;shrilly 
7;14092.56;yuck for pfft;anenst kettledrum;photosynthesise unnaturally analogy;or knott
8;22204.93;regular after;that;naturalisation exhume;preceden
9;23354.9;till oof afore;serious photoreceptor;knit blindly;reposses
10;14164.03;seize although;daily;unless common;though s
